17.08.2019-00:25:12,17.44,16.94,17.25,17.44,44.25,18.06,18.69,18.44,18.25,0,1,1,1,1.133,0.483,22383.883
17.08.2019-00:25:22,17.44,16.94,17.25,17.44,44.25,18.06,18.69,18.38,18.19,0,1,1,1,1.129,0.492,22383.892
17.08.2019-00:25:32,17.44,16.94,17.25,17.44,44.25,18.06,18.69,18.38,18.19,0,1,1,1,1.129,0.492,22383.892
17.08.2019-00:25:42,17.44,17.00,17.31,17.50,44.25,18.06,18.69,18.38,18.19,0,1,1,1,1.129,0.492,22383.892
17.08.2019-00:25:52,17.44,17.00,17.31,17.50,44.25,18.06,18.69,18.38,18.25,0,1,1,1,1.130,0.500,22383.900
17.08.2019-00:26:02,17.44,17.00,17.31,17.44,44.25,18.06,18.69,18.38,18.25,0,1,1,1,1.130,0.500,22383.900
17.08.2019-00:26:12,17.44,17.00,17.31,17.44,44.25,18.06,18.75,18.38,18.19,0,1,1,1,1.130,0.500,22383.900
17.08.2019-00:26:22,17.44,17.00,17.31,17.44,44.25,18.06,18.75,18.38,18.19,0,1,1,1,1.127,0.508,22383.908
17.08.2019-00:26:32,17.50,16.94,17.31,17.50,44.19,18.06,18.75,18.38,18.19,0,1,1,1,1.127,0.508,22383.908
17.08.2019-00:26:42,17.50,16.94,17.31,17.50,44.19,18.12,18.69,18.44,18.19,0,1,1,1,1.125,0.517,22383.917
17.08.2019-00:26:52,17.44,16.94,17.31,17.50,44.19,18.12,18.69,18.44,18.19,0,1,1,1,1.125,0.517,22383.917
17.08.2019-00:27:03,17.44,16.94,17.31,17.50,44.25,18.06,18.69,18.44,18.19,0,1,1,1,1.125,0.517,22383.917
17.08.2019-00:27:13,17.44,16.94,17.31,17.50,44.25,18.06,18.69,18.44,18.19,0,1,1,1,1.125,0.525,22383.925
17.08.2019-00:27:23,17.50,16.94,17.31,17.50,44.19,18.06,18.69,18.44,18.19,0,1,1,1,1.125,0.525,22383.925
17.08.2019-00:27:33,17.50,16.94,17.31,17.50,44.19,18.06,18.62,18.44,18.25,0,1,1,1,1.121,0.533,22383.933
17.08.2019-00:27:43,17.44,16.94,17.31,17.44,44.19,18.06,18.62,18.44,18.25,0,1,1,1,1.121,0.533,22383.933
17.08.2019-00:27:53,17.44,16.94,17.31,17.44,44.19,18.06,18.69,18.38,18.19,0,1,1,1,1.121,0.533,22383.933
